QQQ		
QQQ股價歷史		
Date	Low	Close
2012-06-01	2.91375	3.3275
2012-07-01	3.091875	3.381875
2012-08-01	3.293125	3.741875
2012-09-01	3.65875	3.801875
2012-10-01	3.369375	3.398125
2012-11-01	3.02125	3.48
2012-12-01	3.271875	3.425625
2013-01-01	3.53875	3.6075
2013-02-01	3.504375	3.625
2013-03-01	3.565	3.836875
2013-04-01	3.59625	4.015625
2013-05-01	3.965	4.30125
2013-06-01	3.84875	4.07875
2013-07-01	4.09625	4.61125
2013-08-01	4.505	4.563125
2013-09-01	4.575	4.999375
2013-10-01	4.68875	5.5025
2013-11-01	5.31375	5.8825
2013-12-01	5.65125	6.225
2014-01-01	5.766875	5.97125
2014-02-01	5.620625	6.58375
2014-03-01	6.040625	6.215625
2014-04-01	5.5875	6.148125
2014-05-01	5.8875	6.700625
2014-06-01	6.601875	7.10625
2014-07-01	7.05625	7.255
2014-08-01	7.080625	7.99125
2014-09-01	7.683125	7.8575
2014-10-01	6.528125	8.22875
2014-11-01	8.11	8.985
2014-12-01	7.96875	8.54625
2015-01-01	7.908125	8.174375
2015-02-01	7.955625	9.37875
2015-03-01	8.685625	8.909375
2015-04-01	8.6975	9.22875
2015-05-01	8.948125	9.6375
2015-06-01	9.06625	9.14375
2015-07-01	8.9225	9.95875
2015-08-01	6.875	8.56375
2015-09-01	7.66875	8.13125
2015-10-01	7.93375	10.0675
2015-11-01	9.38375	10.16375
2015-12-01	9.33	9.795
2016-01-01	7.35	8.415
2016-02-01	6.95375	8.11
2016-03-01	8.215	9.225
2016-04-01	8.48875	8.62
2016-05-01	8.4025	9.3675
2016-06-01	7.9725	8.895
2016-07-01	8.735	10.19375
2016-08-01	10.01375	10.38875
2016-09-01	9.885	10.8175
2016-10-01	10.31625	10.48625
2016-11-01	9.86	10.54625
2016-12-01	10.14125	10.765
2017-01-01	10.83375	11.87125
2017-02-01	11.9225	12.91125
2017-03-01	12.815	13.4075
2017-04-01	12.995	14.12125
2017-05-01	14.07125	15.1975
2017-06-01	14.14875	14.415
2017-07-01	14.05125	15.5975
2017-08-01	14.9025	16.155001
2017-09-01	15.3325	16.055
2017-10-01	15.945	17.52
2017-11-01	17.205	18.17
2017-12-01	17.440001	18.3325
2018-01-01	18.434999	21.602501
2018-02-01	16.870001	20.862499
2018-03-01	18.09	19.049999
2018-04-01	17.555	19.1
2018-05-01	18.684999	21.252501
2018-06-01	21.040001	21.615
2018-07-01	21.157499	22.705
2018-08-01	22.6	25.379999
2018-09-01	23.7075	25.17
2018-10-01	18.4275	20.702499
